temperature(C),wind speed(m/s),wind direction,humidity(%),vapor pressure(hPa),dew point(C),atmospheric pressure(hPa),Sea level pressure(hPa),insolation time(hr),insolation(MJ/m2),cloud,weather label
32.1,2.1,250,63,30,24.1,999.9,1014.8,0.8,,6,3
32,2.1,270,55,26.1,21.8,1009.7,1013.9,1,2.62,0,0
25.9,3.5,70,58,19.2,16.9,1007.3,1015.2,0.6,2.11,6,3
20.6,3.8,50,93,22.5,19.4,988.5,1014,0,0.44,10,2
9.9,1.8,140,71,8.6,4.8,1018.7,1021.2,,,9,3
17.5,0.8,110,77,15.4,13.4,992.2,1009.9,0.9,1.09,7,3
22.4,2.1,50,68,18.3,16.1,1000.8,1008.8,0,0.21,10,3
21.7,0,0,79,20.4,17.8,1001,1009,,,0,2
4.8,2.1,320,90,7.7,3.2,1017.2,1026.6,,,10,1
24,2.4,200,23,6.8,1.5,1000,1004.6,1,2.2,0,0
0.7,0.8,20,43,2.8,-10.4,1020.8,1024.8,1,1.08,0,0
11.6,3.6,290,50,6.8,1.5,1015.9,1019,0.9,0.53,0,0
24.8,3.4,200,89,27.7,22.8,975.5,1000.2,0,0.15,9,1
31.9,3.8,270,59,27.7,22.8,1003.1,1012.7,0.9,3.46,8,3
7.3,0.7,90,71,7.2,2.3,1006.1,1031.8,1,1.64,0,0
30.5,2.4,270,66,28.8,23.4,1010,1015,1,3.32,0,0
12.6,2.7,70,95,13.8,11.8,991.7,1018.1,,,3,0
2.9,0,0,85,6.4,0.6,1005.5,1023,,,0,0
7.3,1.1,290,68,6.9,1.7,1020.6,1026.3,1,,0,0
8.1,2.6,160,92,9.9,6.8,995.3,1004.4,0,0.01,0,2
21.1,1.5,290,100,24.9,21,996,1004.7,,,10,2
6.2,0.1,0,94,8.9,5.3,999.2,1016.5,,,2,2
7.5,1.4,20,86,8.9,5.3,1005.2,1013.8,,,10,1
17.5,3.7,290,43,8.5,4.7,1009.5,1017.9,,,4,0
20.8,2.2,290,94,22.9,19.7,989.5,994,,,10,1
21.3,1.3,160,89,22.5,19.4,1010.7,1015.3,0,0.11,10,1
19.1,3.2,270,79,17.4,15.3,992.9,999.7,0,0,10,1
22.3,1.6,20,50,13.4,11.3,1003,1019.2,1,,0,0
3.1,3.4,290,50,3.8,-6.3,1004.9,1007.1,,,5,0
1.6,0.7,20,37,2.5,-11.5,1009.2,1020.5,,,6,3
10.6,1.6,160,64,8.1,4,1011.1,1013.6,0.3,0.23,0,0
21.6,1,180,96,24.7,20.9,1001.2,1011.5,,,9,3
0.2,0.4,0,98,6.1,0,1003.4,1025.2,,,9,3
2.6,0.6,110,94,6.9,1.7,991.5,1001.9,,,7,3
25.3,0.3,0,95,30.6,24.4,990.2,1001.1,,,0,0
0,2.9,50,41,2.5,-11.7,1020.9,1024.9,,,0,0
-2.5,0.5,70,93,4.8,-3.4,1009,1021.2,,,10,2
-2.3,3.3,320,77,4,-5.7,991.3,1019.2,,,8,4
16.3,3.3,340,59,10.9,8.2,1020.5,1024.8,1,2.16,0,0
10.2,1.9,270,73,9,5.5,1012.2,1019.4,0,0,10,2
25.5,3.4,140,99,32.2,25.3,1009.4,1014.5,0.1,0.36,6,2
12.1,1.2,290,69,9.7,6.5,1021.1,1023.6,0.4,,0,0
-5.1,4.3,270,36,1.5,-17.8,1013.1,1031,,,0,0
5.3,1.7,50,62,5.5,-1.4,1009,1019.6,0.1,0.09,7,3
9.5,1.4,250,39,4.6,-3.7,1015.2,1018.5,,,0,0
0.7,1.1,110,87,5.6,-1.2,1023.5,1031.2,0,0,3,2
-6.1,0.8,20,68,2.6,-11,1007.2,1019.6,0,0.65,9,4
-3.7,0.4,0,83,3.9,-6.1,1021,1024.6,,,10,2
26.1,0.9,340,89,30,24.1,1002.9,1008.8,0,0.01,9,1
7.3,6.4,270,84,8.5,4.7,990.2,998.1,0,0.14,10,1
-5.8,2.9,70,87,3.5,-7.6,1020.4,1025.1,,,10,4
23.3,8.1,200,46,13.1,11,1002.7,1007.3,0.2,1.59,8,3
3.9,3.1,20,42,3.4,-7.8,1016.9,1025.7,1,0.4,0,0
12.1,0,0,67,9.4,6.1,1015.5,1019.1,,,4,0
2,2.4,110,51,3.6,-7,1021.8,1025.3,0,0.15,10,4
-1.9,0,0,71,3.8,-6.4,1009.3,1027.2,,,0,0
21.9,1.9,70,94,24.6,20.8,1007.9,1012.1,0,0.02,3,2
23.9,2,110,70,20.6,18,1014,1016.4,,,2,1
23.6,1.5,340,64,18.5,16.3,1012.6,1017.9,1,,3,0
15,1.3,360,72,12.2,9.9,997,1026.4,0,,10,3
24.6,0.9,160,96,29.7,23.9,1008.2,1016.1,,,0,0
14,2.7,70,78,12.4,10.2,1001.5,1009.8,0,0.04,10,1
21.7,5.1,90,90,23.2,19.9,998.2,1004.9,0,0,10,1
27,0.3,0,83,29.5,23.8,1003.8,1005.3,0.1,,7,3
5.6,1.7,320,73,6.6,1.1,999.1,1019.4,,,3,0
9.1,0.8,70,62,7.1,2.1,990,1017.6,1,1.8,0,0
11.4,1.3,160,82,11,8.4,989.4,1014.3,,,0,0
3.9,1.2,270,93,7.5,2.8,981.1,1008.1,0,0.17,10,1
6.1,1.5,20,75,7,1.9,1000.7,1017.7,,,10,3
-5.8,0.5,140,76,3,-9.3,1027.6,1029.7,,,10,3
10.8,4.8,290,53,6.8,1.5,1012.7,1013.7,0.5,0.28,6,3
10.8,3.7,270,50,6.4,0.7,1013.8,1022.3,,,0,0
34.4,1.5,50,47,25.5,21.4,996.1,1001.7,1,1.8,0,0
17.2,0.7,320,94,18.4,16.2,1008.1,1016.3,,,4,2
5.3,0,0,86,7.6,3.1,1016.6,1018.3,0,,9,3
29.9,2.4,180,80,33.6,26,1014.6,1014.8,0.2,1.87,8,3
8.8,0.9,140,85,9.6,6.4,1017,1020.4,1,0.76,0,2
5.3,0,0,99,8.8,5.1,1018.9,1020.9,,,8,3
-3.8,0.7,160,90,4.2,-5.2,1004.4,1031.2,,,3,0
24.8,1.7,230,92,28.8,23.4,995.9,1013.6,,,10,3
23.1,1.6,200,88,24.7,20.9,995.4,997.7,,,8,3
25.4,3.3,140,48,15.5,13.5,1013.3,1017.2,1,1.77,5,0
19,1.4,340,39,8.5,4.7,993.1,1006.5,1,3.03,7,3
20.8,0.4,0,96,23.5,20.1,992.6,1005.8,,,10,3
14,4.5,230,62,9.9,6.8,1013,1020.3,0.9,1.07,3,2
-8.5,0.7,160,72,2.3,-12.6,1020.2,1026.4,,,0,0
6.4,3.4,90,63,6.1,-0.1,1001,1028.3,0.8,1.53,6,3
0.5,0.1,0,94,6,-0.3,1000.1,1021.6,,,0,0
-6.9,0.7,340,54,2,-14.6,1026.4,1027.5,,,10,3
6.3,1.5,250,95,9,5.5,1009.8,1014.7,,,7,2
-3,1.2,90,100,4.9,-3,1010.5,1027.6,,,0,0
26.1,3.3,20,68,22.9,19.7,1013.2,1014.3,1,1.74,0,0
25.3,0.7,180,93,29.8,24,1014.9,1015.2,,,8,2
16.9,3.1,250,72,13.8,11.8,994.4,1002.5,,,0,0
26.5,2.4,360,79,27.2,22.5,1004.1,1012.1,0,0.95,10,1
12.2,4.3,180,75,10.6,7.8,1009.7,1018,0.6,0.88,2,2
23.3,1.2,180,90,25.6,21.5,996.1,1000.6,,,10,2
30.8,5.4,180,79,35,26.7,1004.8,1006.6,0.6,,7,3
0.5,4,290,43,2.7,-10.6,1001.1,1021.8,,,10,3
26.2,0.2,0,84,28.4,23.2,1002.9,1007.9,,,0,0
13.1,2.9,290,51,7.6,3.1,1000.1,1011.6,0.8,0.78,0,0
22.5,2.1,250,90,24.4,20.7,1011.2,1014.4,0,0.33,10,1
12.1,2,270,50,7,1.9,1010.6,1018.9,1,1.43,0,0
2,0.5,290,84,5.9,-0.4,1012.2,1020.7,,,9,2
18.9,0.6,50,98,21.3,18.5,1007.6,1013.7,0,0.25,9,3
23.5,0.7,180,83,24,20.4,1003.2,1009.1,0,0.42,10,1
18.1,1.5,110,95,19.6,17.2,1010.7,1015.4,,,10,1
11,3.9,360,63,8.2,4.2,970.2,1018.4,1,,5,0
14,2.2,140,83,13.2,11.1,1009.3,1015.2,1,,0,0
19.3,1.9,50,88,19.6,17.2,1009.7,1017.7,0,0.33,10,2
7.7,6.6,250,56,5.9,-0.5,1001.4,1005.8,,,8,2
26.7,5.2,200,82,28.6,23.3,1002,1005.1,0,0.3,10,1
23.9,0.9,160,100,29.5,23.8,985.2,1008.8,,,7,3
24.7,4.4,270,86,26.6,22.1,1012.6,1012.9,0,0.44,10,1
2.2,0.5,200,94,6.7,1.3,1016.9,1020.4,,,0,2
27,0.2,0,90,32.1,25.2,1007.2,1008.6,,,1,0
7.1,1.3,230,81,8.1,4,1012.6,1020.1,,,2,2
12.8,2,270,81,11.9,9.6,1004.1,1007.8,0,0.33,10,3
13,2.9,90,47,7,1.9,1013.3,1020.6,0,0.28,10,3
-11,1,250,61,1.6,-17,1021.3,1025.8,,,0,0
32.7,1.3,200,60,29.7,23.9,995.2,1001.7,1,2.54,0,0
23.3,1.8,50,86,24.6,20.8,1001.4,1011.2,,,7,3
4.4,1.6,320,82,6.8,1.5,1017.3,1021.8,0.8,0.57,0,2
23.5,1.5,140,63,18.2,16,1007.3,1014.9,0.8,1.6,9,3
25.9,1.3,360,79,26.3,21.9,1006.7,1014.5,0.5,1.69,5,0
3,4.4,70,92,7,1.8,986.3,1013.5,0,0.24,10,1
7.5,3.4,160,77,8,3.7,1025.5,1030,0.8,2.62,8,2
17.6,1,20,92,18.4,16.2,1009,1010.4,0,,9,3
20.2,1.9,90,98,23.1,19.8,925.1,1010.8,,,0,0
18,6.2,270,36,7.4,2.6,1007.4,1011.6,1,3.65,0,0
5.3,2.8,200,80,7.1,2.1,999,1026.3,0,0.44,10,1
10,0.5,250,81,9.9,6.8,1010.1,1019.9,0,,6,3
25.6,0.7,140,63,20.6,18,968.8,1005,1,,2,0
0.5,2.9,20,100,6.3,0.4,1015,1020.7,,,10,2
-1.3,3.6,20,57,3.2,-8.7,1018.5,1026,,,9,3
12.4,3.5,230,47,6.7,1.3,1004.7,1015,1,0.88,0,2
18.2,2.6,230,79,16.4,14.4,1007.3,1012.1,,,4,0
21.2,2.9,270,68,17,15,999.2,1006.2,0.5,2.13,9,3
1.8,0.9,250,89,6.2,0.1,1010.2,1021,,,9,2
14,4.4,50,70,11.2,8.6,1003.2,1008,1,,8,3
-4.7,0.8,250,43,1.8,-15.4,999.8,1029.2,,,0,0
0.9,15.3,340,67,4.4,-4.5,1017.1,1026.6,0.1,0.63,9,4
22.1,2.9,230,92,24.4,20.7,992.4,997.9,0,,9,3
5.7,4.7,320,76,6.9,1.7,1010.2,1018.7,0,0.01,9,2
-5.4,10.5,70,90,3.7,-6.7,990.9,1019.1,0,0.15,10,4
-1,1,320,68,3.9,-6.1,1017.7,1025.2,0,0.28,9,4
20.8,1.2,290,71,17.4,15.3,1012,1012.5,0,0.23,9,1
26.1,2.5,200,94,31.7,25,1007.5,1007.8,,,10,1
4.5,4.1,270,29,2.4,-12,928.7,1020.3,0.1,0.01,0,0
28.1,1.2,250,83,31.5,24.9,1000.3,1005.2,0,,6,3
3.7,3,230,72,5.8,-0.8,1010.1,1018.7,,,4,2
-7.7,0.4,0,90,3.1,-9,1029.5,1033,,,0,0
20.2,1.7,70,38,9,5.4,970.7,1006.2,1,,5,0
-1.5,3.6,290,46,2.5,-11.6,1013.4,1020.9,0.2,0.28,8,4
24,2.6,180,95,28.3,23.1,1009.3,1013.9,,,10,1
-4.3,1,160,48,2.1,-13.6,1024.3,1029.6,,,0,0
21.8,2.2,50,71,18.5,16.3,1004,1012.3,0,0.02,5,0
13.9,4.9,360,83,13.1,11,1014.1,1023.2,,,0,2
11.8,0.2,0,86,11.9,9.5,997.9,1014.8,,,4,0
18.6,1.2,200,41,8.7,5,1001.3,1004.4,,,0,0
30.6,1.7,200,72,31.5,24.9,1011.8,1013.3,0.4,,8,3
29.6,3.1,180,63,26.1,21.8,985.7,1008.1,0.4,,7,3
18.3,0.1,0,90,18.9,16.6,997.9,1017.2,,,9,3
15.4,1.8,180,68,11.9,9.5,995,1008.6,1,1.65,0,0
4.9,6.4,90,77,6.6,1.1,1003.7,1020.2,,,0,0
-4.8,1.1,70,67,2.9,-9.9,1012.4,1027.3,,,0,0
-2.4,0.5,50,54,2.8,-10.4,1012.8,1025.1,,,4,0
34,1.6,90,59,31.3,24.8,1007.4,1011.3,1,3.25,3,0
26,2.4,160,91,30.6,24.4,1005.7,1006,,,10,2
1.6,3.3,20,24,1.6,-16.8,1018.5,1027.4,1,0.81,0,0
6.1,0.7,250,70,6.6,1,1018.3,1020.5,,,8,3
3.5,0.7,180,85,6.7,1.2,1021.5,1021.9,0.8,0.37,0,2
3.4,4.9,320,37,2.9,-9.9,1016.6,1020.8,1,1.97,0,0
26.2,1.2,340,75,25.5,21.4,954.2,998.9,0.3,,7,3
25.7,3,200,83,27.2,22.5,995.1,1002.9,0,0.67,10,1
6.3,1.5,340,89,8.5,4.6,1012,1020.4,,,9,2
10.7,0.2,0,70,9,5.4,997.2,1003.7,,,0,2
22.2,1.7,290,85,22.7,19.5,984.9,994.1,1,1.23,4,2
25.5,5.1,160,97,31.5,24.9,1002.9,1008,0,0,10,1
16.6,1.7,50,72,13.6,11.5,1007.1,1017.3,1,1.2,6,3
25.8,0.7,250,86,28.4,23.2,1001.3,1005.8,,,8,2
21.8,0.5,140,89,23.1,19.8,1008.4,1014.4,,,7,3
9.7,0.8,110,69,8.2,4.2,1002,1023,0.9,,5,0
4.2,2.6,230,57,4.7,-3.5,1023.9,1024.4,,,0,0
5,0.9,50,79,6.9,1.6,1011.1,1012.8,,,0,0
20,3.3,270,38,8.8,5.2,996,1002.3,,,0,2
-1.1,2.1,320,83,4.7,-3.6,1022.8,1026.4,,,8,4
27.4,1.3,340,93,33.8,26.1,993,1000.6,0,0.1,10,1
1.5,5.6,270,65,4.4,-4.3,980.6,1007.8,,,8,4
26.1,4.3,180,92,30.9,24.6,1000.2,1008.3,0,0.01,6,3
0.6,9.3,360,79,5,-2.6,1018.2,1027.8,0,0.01,9,4
29.3,0.3,0,73,29.7,23.9,1007.4,1013.1,0.1,0.03,0,0
4,0.3,0,77,6.2,0.3,1009.9,1024.3,,,9,3
-3.7,0.5,200,90,4.2,-5.1,1003.8,1025.9,0,,9,3
5.4,1.9,320,92,8.2,4.1,1005.9,1010.8,,,0,2
5.9,0,0,94,8.7,5,1013.1,1013.5,,,9,2
6.3,0.5,200,92,8.7,5,988,1015.8,0,0.22,9,3
23.3,2,160,78,22.2,19.2,1014.3,1016.2,0.7,1.56,5,0
-1.9,10.6,340,58,3.1,-9,1016.3,1025.9,0.1,0.38,8,4
26.1,1.1,180,80,26.9,22.3,998.5,1005.1,0,0.6,10,1
23.2,2.9,140,90,25.5,21.4,1004.8,1011,,,10,1
16.7,0.9,340,98,18.5,16.3,1009.6,1021,,,10,2
22.7,0.5,200,94,25.8,21.6,990.3,998,0,0.26,10,1
11.9,1.9,250,61,8.5,4.6,1024.5,1027,,,1,0
21,1.5,340,87,21.6,18.7,1005.4,1013.6,0,0.57,10,1
11.7,1.9,90,22,3,-9.3,1020.4,1024.1,1,2.67,0,0
13.8,0.4,0,76,11.9,9.6,1003.9,1010.4,0.1,0.38,7,3
5.8,6,180,61,5.6,-1.1,1015.3,1019.8,1,1.86,0,0
10.2,5.9,320,59,7.3,2.5,1022.6,1025.2,0,0,10,1
28.8,1.2,270,62,24.4,20.7,1006.3,1011.5,0.7,,6,3
10.5,1.5,270,61,7.7,3.2,1007.7,1018.4,,,0,0
4.6,2.6,320,30,2.5,-11.5,1019.7,1025.6,1,,0,0
16.2,5,360,55,10.1,7.1,1009.4,1017.2,,,2,0
19.7,3,250,50,11.4,8.9,1013.3,1014,1,0.92,0,0
19.2,1.2,140,85,18.9,16.6,1014.2,1017.5,,,10,3
20.7,3.4,50,75,18.3,16.1,1008.4,1015.2,0,0.33,10,1
-3.5,0.2,0,88,4.2,-5.2,970.3,1021.3,,,0,0
13.6,2.1,20,57,8.8,5.2,935.5,1017.6,0.4,1.27,7,3
16.5,0.7,110,97,18.2,16,991.4,1019.7,,,10,3
27.2,0.3,0,88,31.7,25,997.3,1008.1,,,0,0
4.3,1.8,110,29,2.4,-12.2,1014.3,1023.7,,,10,4
14.4,2.7,160,71,11.6,9.2,1008.3,1008.8,,,10,1
3.6,1.3,290,93,7.3,2.5,1013.1,1021.6,,,0,2
22.7,3.9,320,97,26.6,22.1,1006,1008.9,0,0.56,9,3
5.5,1.5,180,78,7,1.9,1014.5,1019.4,,,9,1
29.5,1.5,290,60,24.7,20.9,1000.8,1006.3,1,1.97,0,0
-1.4,3.7,320,79,4.4,-4.5,1019.5,1028.2,0.2,0.69,0,4
3.3,3.5,20,54,4.2,-5.1,1015.4,1025.6,,,0,2
3,3.5,230,36,2.7,-10.6,1016.8,1019,,,10,3
31.4,3,250,69,31.7,25,1000.8,1011.5,0.4,1.52,8,1
13.3,1.9,290,96,14.6,12.6,1003.3,1007.6,,,8,2
21.1,5,50,56,13.9,11.9,1013.4,1015.8,1,1.43,2,0
0.7,2.7,110,79,5.1,-2.5,1007.7,1012.7,,,10,4
3.1,0.3,0,96,7.3,2.5,987.1,1011.9,,,4,0
28.6,3.8,70,70,27.2,22.5,1012.3,1013,0.7,2.34,9,3
25.7,0,0,75,24.7,20.9,1002.9,1006.4,,,0,0
25.1,2.7,230,76,24.1,20.5,997.5,1005.3,1,1.3,0,0
22.6,4.9,230,94,25.6,21.5,1004.5,1012.5,0.2,1.74,4,0
5.2,3.1,320,51,4.5,-4.1,1011.2,1019.8,,,2,0
19,1.2,360,35,7.6,3.1,1012.9,1018.2,1,,0,0
0.4,2.3,70,75,4.7,-3.5,1021.9,1025.4,0,0.19,10,4
23.3,3,180,91,26,21.7,1001.5,1004.7,,,10,1
7.7,0.6,320,80,8.4,4.4,1011.7,1016,,,0,0
17.9,6.1,250,18,3.7,-6.7,979.4,1010,1,,0,0
12.9,1.1,160,80,11.9,9.5,1012.4,1014.9,,,7,2
13.4,0.7,250,40,6.1,0,1024,1028.1,1,1.16,0,0
16.5,1,340,93,17.4,15.3,982.8,1020.8,,,7,3
2.4,4.3,320,50,3.6,-6.9,1019.1,1027.8,0.7,0.33,0,0
25.7,1.5,70,77,25.3,21.3,1008.6,1014.5,,,4,0
1.3,12,340,69,4.6,-3.7,1017.9,1027.4,0.3,1.02,8,4
16.4,1.1,20,66,12.3,10,1010.4,1020,0,0.1,10,1
-4.4,5.4,360,46,2,-14.3,1017.9,1022.6,,,7,3
9.8,0.3,0,94,11.3,8.8,988.6,1020.5,,,8,3
1.7,8.7,320,63,4.3,-4.6,1021.1,1023.7,0,0.39,9,4
21.8,0.3,0,99,25.8,21.6,995.9,1011.8,0,,7,3
17.5,1,20,97,19.4,17,1003.2,1007.4,,,10,2
24.4,6.6,270,44,13.4,11.3,970.4,997.7,0.8,2.72,4,0
7.4,2.1,70,60,6.2,0.1,1025.1,1025.5,0,0.21,7,1
10.3,1.5,140,46,5.8,-0.8,1007.8,1016.2,0,1.07,9,2
16.2,1.2,360,83,15.3,13.3,1003.6,1011.7,0,0,0,0
28.6,2.5,160,84,32.8,25.6,994.3,1002.2,0,0.44,10,1
11.7,2.3,230,74,10.2,7.2,1011.3,1014.7,0.9,0.62,0,2
24,1,180,87,25.8,21.6,1000.7,1002.1,0,,10,3
18.8,2.1,200,84,18.2,16,1007.3,1012.7,0.6,,6,3
22.5,1.9,290,86,23.4,20,1001.6,1008.6,,,2,2
12.2,5.8,340,74,10.4,7.6,1009.6,1017.6,,,0,2
8.9,1.4,200,61,6.9,1.7,1014.3,1019.2,0.7,1.7,8,2
6.7,0.1,0,71,7,1.8,1018.2,1025.5,1,0.71,0,2
22.3,3,140,62,16.6,14.6,1000.9,1020.9,1,,3,0
18.5,1,20,77,16.3,14.3,1011.5,1019.8,,,1,0
3.7,0.5,230,80,6.3,0.5,1020.5,1026.3,,,7,3
8.4,2.9,200,100,10.9,8.3,1012.5,1013.3,0.3,0.39,2,0
7,0.6,200,69,6.9,1.6,965.4,1014.1,,,0,0
25.1,2.1,200,56,17.7,15.6,1003.6,1011.6,1,3.05,0,0
26.4,2.2,180,69,23.7,20.2,999.2,1003.7,0,0.54,10,1
13,0.9,320,53,7.9,3.6,1009.5,1014.4,,,0,0
2.6,9.4,340,49,3.6,-7,1013,1018.6,,,7,4
21.2,0,0,96,24.1,20.5,988.5,1012.8,0,,10,3
19.4,2.2,90,73,16.4,14.4,1013.7,1021.5,0,0.11,9,1
-7.5,0.5,360,87,3,-9.2,995.6,1029.9,,,0,0
2.1,1.4,250,88,6.2,0.3,1012.1,1020.6,,,9,2
8.2,4.8,160,82,8.9,5.3,1008.6,1017,0,0.01,7,1
-0.7,1,320,39,2.3,-12.9,1007.3,1027.1,1,1.66,0,0
13.6,4.5,20,35,5.5,-1.5,1014.6,1023.7,1,3.17,0,0
23.8,2.2,290,75,22,19,1010.3,1012.6,0,,10,3
16.7,0.8,290,96,18.2,16,992.6,1011.9,,,0,0
